date,city,state,station_id,tmin_C,tmax_C,tavg_C,prcp_mm
6/10/2019,Sydney,NSW,94767,14.8,23.6,19.9,0.6
7/10/2019,Adelaide,SA,94672,12.5,16.1,13.2,1
7/10/2019,Brisbane,QLD,94578,15.5,26.6,22.5,0
7/10/2019,Canberra,ACT,94926,8.6,23.7,15.8,0
7/10/2019,Darwin,NT,94120,24.3,33.3,28.6,0
7/10/2019,Hobart,TAS,94975,7.8,16.2,12.1,10.2
7/10/2019,Melbourne,VIC,94866,10.2,16.8,12.5,0
7/10/2019,Perth,WA,94610,11.1,25.4,18.6,0
7/10/2019,Sydney,NSW,94767,17.1,22.6,19.1,0
8/10/2019,Adelaide,SA,94672,9.3,16.9,12.6,0
8/10/2019,Brisbane,QLD,94578,19.7,27.7,22.5,0
8/10/2019,Canberra,ACT,94926,5.3,18.7,8.2,11.2
8/10/2019,Darwin,NT,94120,23.6,33.1,28.3,0
8/10/2019,Hobart,TAS,94975,8.5,13.1,9.7,0.2
8/10/2019,Melbourne,VIC,94866,7.8,13.3,8.9,1.4
8/10/2019,Perth,WA,94610,13.1,31,21.3,0
8/10/2019,Sydney,NSW,94767,16.2,23.3,14.7,0
9/10/2019,Adelaide,SA,94672,9.9,17.3,11.8,0
9/10/2019,Brisbane,QLD,94578,17,26.1,18.9,0
9/10/2019,Canberra,ACT,94926,1.7,16.3,8.9,0
9/10/2019,Darwin,NT,94120,24.1,33.5,28.6,0
9/10/2019,Hobart,TAS,94975,6.2,14.3,10.7,0
9/10/2019,Melbourne,VIC,94866,5.9,15.1,10.3,4.4
9/10/2019,Perth,WA,94610,10,29.9,19.7,0
9/10/2019,Sydney,NSW,94767,10.2,17.6,15.5,0.8
10/10/2019,Adelaide,SA,94672,5.9,19.2,14.1,0
10/10/2019,Brisbane,QLD,94578,16,22.6,18.1,0
10/10/2019,Canberra,ACT,94926,1,19.2,12.7,0
10/10/2019,Darwin,NT,94120,25.3,34,29,0
10/10/2019,Hobart,TAS,94975,6.9,14.3,10.4,0
10/10/2019,Melbourne,VIC,94866,7.9,14.6,10.8,1.8
10/10/2019,Perth,WA,94610,11.6,24.1,17.4,0
10/10/2019,Sydney,NSW,94767,12.4,18.9,15.9,0.6
11/10/2019,Adelaide,SA,94672,7.7,21.5,15.4,0
11/10/2019,Brisbane,QLD,94578,13,22.2,17.1,30.5
11/10/2019,Canberra,ACT,94926,7.5,17.1,10.7,0
11/10/2019,Darwin,NT,94120,23.6,34.5,28.8,0
11/10/2019,Hobart,TAS,94975,8.3,14,8.6,0
11/10/2019,Melbourne,VIC,94866,7.6,19.3,11.9,0.4
11/10/2019,Perth,WA,94610,11.1,21.2,16.7,0
11/10/2019,Sydney,NSW,94767,12.4,19,15.4,0
12/10/2019,Adelaide,SA,94672,8.2,25.1,20.9,0
12/10/2019,Brisbane,QLD,94578,12.3,19,15.1,5.8
12/10/2019,Canberra,ACT,94926,7.3,15.9,9.8,0
12/10/2019,Darwin,NT,94120,24.5,34.8,29.4,0
12/10/2019,Hobart,TAS,94975,4.4,14.3,8.1,0
12/10/2019,Melbourne,VIC,94866,6.3,19.6,13.4,9.4
12/10/2019,Perth,WA,94610,13.6,22.3,14.6,2.8
12/10/2019,Sydney,NSW,94767,12,19.2,14.6,10.8
13/10/2019,Adelaide,SA,94672,15.2,23.6,16.9,2
13/10/2019,Brisbane,QLD,94578,11.2,23,18.5,0.3
13/10/2019,Canberra,ACT,94926,1.8,19.8,12.4,0
13/10/2019,Darwin,NT,94120,24.3,33.8,29,0
13/10/2019,Hobart,TAS,94975,2.3,16.6,11.9,0.2
13/10/2019,Melbourne,VIC,94866,6.2,22.3,17.1,0
13/10/2019,Perth,WA,94610,6.9,21.3,16.9,0
13/10/2019,Sydney,NSW,94767,11,19.9,15.8,3
14/10/2019,Adelaide,SA,94672,11.1,17.6,13.2,0
14/10/2019,Brisbane,QLD,94578,13.7,24.3,21,0.8
14/10/2019,Canberra,ACT,94926,4.3,22.7,14.6,0
14/10/2019,Darwin,NT,94120,21.8,35.8,29.1,0
14/10/2019,Hobart,TAS,94975,7.6,24.1,14.6,0
14/10/2019,Melbourne,VIC,94866,12.5,25.6,15.7,0.6
14/10/2019,Perth,WA,94610,13.2,21.3,14.6,0.6
14/10/2019,Sydney,NSW,94767,12.5,23.6,19.1,0
15/10/2019,Adelaide,SA,94672,7.4,17.1,14.5,5.1
15/10/2019,Brisbane,QLD,94578,19,24.4,21.9,0
15/10/2019,Canberra,ACT,94926,6.6,28,18.9,0
15/10/2019,Darwin,NT,94120,22.2,35.1,28.7,0
15/10/2019,Hobart,TAS,94975,7.7,13.3,8.4,1.2
15/10/2019,Melbourne,VIC,94866,10.7,18.4,13.8,0.2
15/10/2019,Perth,WA,94610,5.4,20.7,13.4,0
15/10/2019,Sydney,NSW,94767,14.9,26.1,20.8,0
16/10/2019,Adelaide,SA,94672,10,17.4,13.9,5.1
16/10/2019,Brisbane,QLD,94578,17.5,26.8,22.6,0
16/10/2019,Canberra,ACT,94926,7.8,23.5,16.3,4.8
16/10/2019,Darwin,NT,94120,23.6,32.5,28.5,0
16/10/2019,Hobart,TAS,94975,4.1,16.8,10.4,9.4
16/10/2019,Melbourne,VIC,94866,10.9,19.8,12.7,0
16/10/2019,Perth,WA,94610,4.5,22,14.6,0
16/10/2019,Sydney,NSW,94767,17.3,25.8,20.4,0
17/10/2019,Adelaide,SA,94672,9.2,16.5,12.3,0
17/10/2019,Brisbane,QLD,94578,18.6,27.4,22.5,5.8
17/10/2019,Canberra,ACT,94926,8.8,16.1,10.6,0
17/10/2019,Darwin,NT,94120,23.2,34.4,29.1,0
17/10/2019,Hobart,TAS,94975,5.5,15.9,11.1,1.4
17/10/2019,Melbourne,VIC,94866,7.3,15,10.1,8
17/10/2019,Perth,WA,94610,5.9,23.6,16.4,0
17/10/2019,Sydney,NSW,94767,16.8,29.7,19.6,0
18/10/2019,Adelaide,SA,94672,8.2,19.5,14.8,0.5
18/10/2019,Brisbane,QLD,94578,18.9,25.4,21.7,0
18/10/2019,Canberra,ACT,94926,5.8,21,15.3,0
18/10/2019,Darwin,NT,94120,23.5,36.4,29.2,0
18/10/2019,Hobart,TAS,94975,6.9,19.8,10.9,0
18/10/2019,Melbourne,VIC,94866,3.8,21.3,13.5,0.2
18/10/2019,Perth,WA,94610,9.3,25.8,18.7,0
18/10/2019,Sydney,NSW,94767,13.5,25,18.8,0
19/10/2019,Adelaide,SA,94672,9.8,16.9,12.3,0.3
19/10/2019,Brisbane,QLD,94578,18.9,24,20.6,6.1
19/10/2019,Canberra,ACT,94926,9.3,19.2,10.4,0
19/10/2019,Darwin,NT,94120,24.6,36,30,0
19/10/2019,Hobart,TAS,94975,6,14.7,11.2,2
19/10/2019,Melbourne,VIC,94866,6.3,15.7,10.2,0.2
19/10/2019,Perth,WA,94610,12.2,32.5,22.9,0
19/10/2019,Sydney,NSW,94767,12.4,30,19.8,0
20/10/2019,Adelaide,SA,94672,7.1,17.5,12.8,0
20/10/2019,Brisbane,QLD,94578,15.1,25.6,21.3,0
20/10/2019,Canberra,ACT,94926,-0.2,20.9,12.4,0
20/10/2019,Darwin,NT,94120,24,35.2,29.9,0
20/10/2019,Hobart,TAS,94975,8.2,19.5,14.3,0.2
20/10/2019,Melbourne,VIC,94866,6.5,16.7,12.5,0.6
20/10/2019,Perth,WA,94610,14.7,25.2,18.8,0
20/10/2019,Sydney,NSW,94767,12.5,21.5,16.9,0
21/10/2019,Adelaide,SA,94672,7.3,21.7,16.7,0
21/10/2019,Brisbane,QLD,94578,18,23.6,19.7,0
21/10/2019,Canberra,ACT,94926,3.1,26.5,16,0
21/10/2019,Darwin,NT,94120,24.9,38.2,30.5,0
21/10/2019,Hobart,TAS,94975,10.9,21.1,12.5,0
21/10/2019,Melbourne,VIC,94866,9.6,17.3,12.8,0
21/10/2019,Perth,WA,94610,9.8,23.9,17.1,0
21/10/2019,Sydney,NSW,94767,12.1,23.8,18.6,0
22/10/2019,Adelaide,SA,94672,9.3,28.5,21.1,0
22/10/2019,Brisbane,QLD,94578,14,23.9,19.8,0
22/10/2019,Canberra,ACT,94926,5.8,28.5,16.8,0
22/10/2019,Darwin,NT,94120,24.8,35,29.3,0
22/10/2019,Hobart,TAS,94975,4.3,19.7,14.4,0
22/10/2019,Melbourne,VIC,94866,9.3,22.5,14.2,0
22/10/2019,Perth,WA,94610,8.7,26,19.4,0
22/10/2019,Sydney,NSW,94767,13.7,25.1,20.4,0
23/10/2019,Adelaide,SA,94672,13.4,33,24.4,0
23/10/2019,Brisbane,QLD,94578,15.8,24.5,19.8,0
23/10/2019,Canberra,ACT,94926,5.8,29.2,19.1,0
23/10/2019,Darwin,NT,94120,25.2,35.6,29.6,0
23/10/2019,Hobart,TAS,94975,9.2,23,14.2,0
23/10/2019,Melbourne,VIC,94866,5.4,28.9,20.7,0
