latitude,longitude,date,confidence
-15.5029,134.5081,1/10/2019,100
-15.5014,134.5182,1/10/2019,100
-15.4999,134.5283,1/10/2019,100
-15.4861,134.6193,1/10/2019,100
-15.4846,134.6295,1/10/2019,91
-15.5168,134.4794,1/10/2019,100
-15.5153,134.4894,1/10/2019,100
-15.5138,134.4995,1/10/2019,100
-15.5122,134.5096,1/10/2019,100
-15.5107,134.5197,1/10/2019,100
-15.5092,134.5298,1/10/2019,100
-15.5077,134.5398,1/10/2019,100
-15.5062,134.5499,1/10/2019,96
-15.5231,134.5011,1/10/2019,100
-15.5185,134.5313,1/10/2019,100
-15.517,134.5414,1/10/2019,91
-15.5018,134.6427,1/10/2019,100
-15.5002,134.6529,1/10/2019,100
-15.5096,134.6545,1/10/2019,100
-15.5081,134.6647,1/10/2019,100
-15.5818,134.4651,1/10/2019,100
-15.5803,134.4751,1/10/2019,95
-15.5401,134.8019,1/10/2019,100
-15.5386,134.8123,1/10/2019,97
-17.0888,138.8083,1/10/2019,93
-15.6782,134.6945,1/10/2019,97
-13.3011,141.9557,1/10/2019,91
-13.3076,141.921,1/10/2019,99
-15.5994,126.7164,1/10/2019,92
-15.5871,126.7148,1/10/2019,94
-15.5789,126.6765,1/10/2019,100
-15.5665,126.6749,1/10/2019,100
-13.2944,141.9464,1/10/2019,91
-13.3006,141.9117,1/10/2019,92
-15.574,126.6876,1/10/2019,100
-15.5762,126.6694,1/10/2019,100
-15.5616,126.686,1/10/2019,98
-15.5492,126.6844,1/10/2019,100
-15.5514,126.6662,1/10/2019,93
-15.4324,126.9031,1/10/2019,100
-14.1929,132.8418,1/10/2019,100
-14.1493,132.8255,1/10/2019,92
-14.1431,131.3868,1/10/2019,96
-14.1458,131.3679,1/10/2019,100
-14.1471,131.3584,1/10/2019,92
-14.134,131.3855,1/10/2019,97
-14.1354,131.376,1/10/2019,93
-14.1367,131.3665,1/10/2019,100
-14.138,131.3571,1/10/2019,100
-14.1393,131.3476,1/10/2019,100
-14.1407,131.3382,1/10/2019,100
-14.1263,131.3747,1/10/2019,100
-14.1276,131.3652,1/10/2019,100
-14.1289,131.3557,1/10/2019,100
-14.1302,131.3463,1/10/2019,100
-14.1316,131.3368,1/10/2019,100
-14.1198,131.3544,1/10/2019,100
-14.1211,131.3449,1/10/2019,100
-14.1224,131.3355,1/10/2019,100
-14.112,131.3436,1/10/2019,100
-14.1133,131.3341,1/10/2019,100
-13.8776,132.9263,1/10/2019,98
-13.8636,132.8957,1/10/2019,95
-13.8559,132.8851,1/10/2019,100
-13.8573,132.8758,1/10/2019,100
-13.8586,132.8665,1/10/2019,100
-13.86,132.8573,1/10/2019,100
-13.8613,132.8481,1/10/2019,98
-13.8483,132.8744,1/10/2019,100
-13.8496,132.8652,1/10/2019,100
-13.851,132.8559,1/10/2019,100
-13.8523,132.8467,1/10/2019,100
-13.8537,132.8374,1/10/2019,93
-14.1344,129.832,1/10/2019,100
-13.4606,132.4349,1/10/2019,98
-13.4619,132.4257,1/10/2019,100
-13.4258,132.424,1/10/2019,96
-13.2838,132.3207,1/10/2019,100
-13.2852,132.3115,1/10/2019,92
-13.2865,132.3023,1/10/2019,100
-13.2878,132.2932,1/10/2019,100
-13.2891,132.284,1/10/2019,100
-13.276,132.3139,1/10/2019,100
-13.2773,132.3047,1/10/2019,100
-13.2786,132.2955,1/10/2019,100
-13.2799,132.2864,1/10/2019,100
-13.2683,132.3033,1/10/2019,95
-12.7222,135.8882,1/10/2019,98
-12.7212,135.7587,1/10/2019,91
-13.0091,132.5706,1/10/2019,100
-13.0105,132.5614,1/10/2019,100
-13.0118,132.5522,1/10/2019,100
-13.0131,132.543,1/10/2019,100
-13.0144,132.5338,1/10/2019,98
